R174--R175 1.57523 3--2 	1.59465 8--7 	1.60126 5--2
R178--R179 1.36874 6--1 	1.38498 2--1 	1.38727 3--1
R182--R213 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R182--R214 1.00170 1--4 	1.03627 12--7 	1.15309 5--6
R182--R215 1.18235 11--8 	1.25803 8--8 	1.26013 8--6
R182--R216 1.61092 11--4 	1.73371 13--9 	1.74747 13--2
R214--R213 0.98296 7--12 	1.01972 7--9 	1.07428 4--5
R215--R213 1.12162 9--8 	1.12299 7--8 	1.12822 8--8
R216--R213 1.48291 3--8 	1.57117 4--11 	1.58078 3--6
R214--R215 1.12720 10--11 	1.15275 9--6 	1.16107 9--8
R076--R112 0.93522 11--7 	0.94921 11--6 	0.97095 11--4
R076--R113 1.01728 5--6 	1.04625 4--5 	1.06628 8--8
R077--R112 1.18861 7--5 	1.30629 10--10 	1.31241 5--4
R077--R113 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R112--R113 0.89768 8--9 	1.12220 6--9 	1.12328 7--9
R083--R172 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R083--R173 1.61081 11--5 	11.00000 14--1 	11.00000 14--1
R172--R173 1.61081 11--5 	11.00000 14--1 	11.00000 14--1
R086--R166 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R086--R167 1.02266 10--8 	1.02498 5--7 	1.05820 3--8
R166--R167 1.02266 10--8 	1.02498 5--7 	1.05820 3--8
R185--R186 1.36187 1--9 	1.36964 2--9 	1.37486 9--8
R187--R188 1.28152 4--2 	1.31875 4--5 	1.39285 4--6
R189--R190 0.98189 6--8 	1.01323 7--4 	1.03105 6--9
R191--R192 13.00000 1--1 	13.00000 1--1 	13.00000 1--1
R193--R194 1.36531 8--3 	1.45072 5--9 	1.49155 2--12
R197--R198 1.33513 5--7 	1.34090 9--7 	1.38421 10--12
R199--R200 1.17759 11--5 	1.17774 5--3 	1.22640 7--10
R201--R202 1.14589 1--6 	1.27226 5--11 	1.30855 2--5
R203--R204 1.10334 4--12 	1.13323 2--12 	1.15463 5--12
R203--R205 1.18720 2--4 	1.19904 7--4 	1.26455 2--11
R203--R206 0.92897 6--9 	0.92964 9--9 	0.98156 10--7
R204--R205 0.93089 12--2 	0.93916 9--5 	0.96815 9--8
R204--R206 0.85649 12--12 	0.88949 12--11 	0.91365 12--6
R205--R206 0.90002 7--9 	0.92234 4--11 	0.95440 2--3
R217--R218 1.07235 4--11 	1.07724 11--3 	1.08328 3--11
R217--R219 1.38963 11--4 	1.39988 2--12 	1.41140 1--4
R218--R219 1.73853 10--13 	1.75080 10--10 	1.75765 10--4
R220--R221 0.80252 3--9 	0.80504 3--6 	0.81563 3--4
R222--R223 1.36155 10--8 	1.36948 8--8 	1.38056 9--11
R222--R224 1.01075 3--9 	1.12763 6--3 	1.13255 6--10
R223--R224 1.20986 8--12 	1.21285 10--11 	1.27187 4--2
R230--R231 0.00000 1--1 	0.00000 1--1 	0.00000 1--1
R227--R228 1.81789 1--5 	1.90988 1--8 	11.00000 13--1
R227--R229 1.13679 5--5 	1.16253 3--8 	1.16368 6--10
R214--R215 1.12720 10--11 	1.15275 9--6 	1.16107 9--8
R214--R216 1.30299 7--2 	1.32455 6--3 	1.33139 6--2
